date,campaign,funnel_stage,ad_set,ad,creative_id,ad_type,platform,audience,audience_type,audience_size,impressions,clicks,spend,cpc,cpm,video_views,leads,conversions,revenue
2024-01-06,Video_Views,Awareness,Set_2,Ad_5,Creative_9,Video,LinkedIn,Retargeting_Product_Viewers,Retargeting,Narrow,1053,19,13.2,0.69,12.54,7,0,0,0.0
2024-01-06,Video_Views,Awareness,Set_4,Ad_7,Creative_4,Carousel,TikTok,Broad_18-34_US,Broad,Broad,1005,28,20.33,0.73,20.23,15,0,1,22.31
2024-02-10,Conversions,Conversion,Set_4,Ad_12,Creative_4,Image,LinkedIn,Retargeting_Product_Viewers,Retargeting,Medium,1018,25,8.11,0.32,7.97,0,0,0,0.0
2024-03-01,Traffic,Consideration,Set_1,Ad_11,Creative_10,Image,Facebook,Retargeting_Email_Engagers,Retargeting,Broad,1052,36,14.45,0.4,13.74,0,1,2,59.76
2024-01-13,Traffic,Consideration,Set_1,Ad_3,Creative_6,Image,Facebook,Interest_In_Sustainable_Fashion,Interest,Narrow,989,21,6.36,0.3,6.43,0,0,0,0.0
2024-01-11,Brand_Awareness,Awareness,Set_2,Ad_9,Creative_10,Image,LinkedIn,Interest_In_Sustainable_Fashion,Interest,Broad,1008,11,5.86,0.53,5.81,0,0,0,0.0
2024-01-03,Video_Views,Awareness,Set_4,Ad_8,Creative_2,Image,LinkedIn,Broad_18-34_US,Broad,Medium,930,6,6.17,1.03,6.63,4,0,0,-0.0
2024-01-18,Brand_Awareness,Awareness,Set_4,Ad_12,Creative_1,Carousel,LinkedIn,Interest_In_Luxury_Travel,Interest,Medium,945,26,11.59,0.45,12.26,0,0,1,16.66
2024-01-09,Brand_Awareness,Awareness,Set_1,Ad_13,Creative_4,Image,X,Broad_18-34_US,Broad,Narrow,1004,7,5.49,0.78,5.47,0,0,0,0.0
2024-01-14,Traffic,Consideration,Set_4,Ad_5,Creative_4,Video,LinkedIn,Interest_In_Home_Fitness,Interest,Medium,1025,15,8.29,0.55,8.09,0,0,1,19.81
2024-01-20,Brand_Awareness,Awareness,Set_4,Ad_18,Creative_1,Carousel,Facebook,Lookalike_Top_Spenders,Lookalike,Broad,966,35,3.99,0.11,4.13,0,0,0,0.0
2024-01-21,Brand_Awareness,Awareness,Set_2,Ad_6,Creative_7,Image,LinkedIn,Retargeting_Cart_Abandoners,Retargeting,Medium,1038,5,2.8,0.56,2.7,0,0,0,0.0
2024-01-26,Brand_Awareness,Awareness,Set_2,Ad_13,Creative_5,Video,Facebook,Interest_In_Luxury_Travel,Interest,Medium,990,40,2.0,0.05,2.02,0,0,1,25.88
2024-01-03,Retargeting,Conversion,Set_4,Ad_5,Creative_10,Image,Instagram,Interest_In_Organic_Food,Interest,Narrow,983,13,3.58,0.28,3.64,0,0,0,0.0
2024-03-03,Video_Views,Awareness,Set_1,Ad_11,Creative_9,Video,Facebook,Lookalike_Top_Spenders,Lookalike,Broad,1022,11,3.17,0.29,3.1,7,0,0,0.0
2024-01-14,Video_Views,Awareness,Set_2,Ad_2,Creative_10,Image,TikTok,Lookalike_Recent_Purchasers,Lookalike,Narrow,1027,36,18.44,0.51,17.96,25,0,0,0.0
2024-02-22,Brand_Awareness,Awareness,Set_2,Ad_13,Creative_10,Carousel,Facebook,Retargeting_Email_Engagers,Retargeting,Narrow,983,22,8.23,0.37,8.37,0,0,0,0.0
2024-01-11,Brand_Awareness,Awareness,Set_1,Ad_14,Creative_5,Video,TikTok,Retargeting_Email_Engagers,Retargeting,Broad,984,40,30.17,0.75,30.66,0,0,1,13.01
2024-01-24,Traffic,Consideration,Set_3,Ad_8,Creative_5,Carousel,X,Interest_In_Luxury_Travel,Interest,Narrow,995,11,5.89,0.54,5.92,0,0,0,0.0
2024-01-03,Retargeting,Conversion,Set_3,Ad_3,Creative_2,Carousel,Facebook,Retargeting_Cart_Abandoners,Retargeting,Broad,1019,22,11.26,0.51,11.05,0,0,1,31.54
2024-03-29,Brand_Awareness,Awareness,Set_2,Ad_17,Creative_4,Image,X,Interest_In_Home_Fitness,Interest,Medium,989,22,19.69,0.9,19.91,0,0,1,18.4
2024-01-01,Conversions,Conversion,Set_3,Ad_6,Creative_5,Carousel,LinkedIn,Broad_35-54_UK,Broad,Broad,997,14,11.96,0.85,12.0,0,0,0,0.0
2024-01-15,Video_Views,Awareness,Set_1,Ad_18,Creative_5,Image,X,Custom_List_Newsletter_Subscribers,Custom_List,Narrow,980,21,12.65,0.6,12.91,14,0,0,0.0
2024-01-30,Brand_Awareness,Awareness,Set_1,Ad_18,Creative_4,Carousel,Instagram,Interest_In_Organic_Food,Interest,Medium,1018,32,24.42,0.76,23.99,0,0,0,0.0
2024-01-07,Conversions,Conversion,Set_2,Ad_9,Creative_2,Image,TikTok,Retargeting_Cart_Abandoners,Retargeting,Medium,997,32,14.34,0.45,14.38,0,1,1,53.42
2024-01-12,Retargeting,Conversion,Set_3,Ad_2,Creative_5,Carousel,Facebook,Interest_In_Tech_Gadgets,Interest,Narrow,1032,28,19.47,0.7,18.87,0,0,1,18.68
2024-02-19,Traffic,Consideration,Set_4,Ad_18,Creative_2,Image,LinkedIn,Retargeting_Product_Viewers,Retargeting,Narrow,1008,17,9.81,0.58,9.73,0,0,0,0.0
2024-01-02,Traffic,Consideration,Set_1,Ad_12,Creative_3,Video,TikTok,Retargeting_Product_Viewers,Retargeting,Narrow,1040,36,23.85,0.66,22.93,0,0,0,0.0
2024-02-03,Brand_Awareness,Awareness,Set_3,Ad_12,Creative_4,Carousel,Facebook,Interest_In_Tech_Gadgets,Interest,Narrow,1011,25,11.66,0.47,11.53,0,0,0,0.0
2024-01-23,Brand_Awareness,Awareness,Set_3,Ad_18,Creative_4,Image,LinkedIn,Retargeting_Email_Engagers,Retargeting,Broad,1038,31,19.63,0.63,18.91,0,0,0,0.0
2024-01-08,Traffic,Consideration,Set_2,Ad_14,Creative_7,Video,Facebook,Interest_In_Home_Fitness,Interest,Broad,960,27,16.52,0.61,17.21,0,0,0,0.0
2024-03-11,Traffic,Consideration,Set_3,Ad_6,Creative_4,Video,Facebook,Interest_In_Luxury_Travel,Interest,Narrow,986,14,9.34,0.67,9.47,0,0,0,0.0
2024-01-09,Traffic,Consideration,Set_4,Ad_12,Creative_1,Image,X,Broad_35-54_UK,Broad,Narrow,996,27,5.04,0.19,5.06,0,0,0,0.0
2024-01-03,Traffic,Consideration,Set_4,Ad_11,Creative_6,Video,X,Broad_35-54_UK,Broad,Narrow,959,8,5.58,0.7,5.82,0,0,0,0.0
2024-01-06,Video_Views,Awareness,Set_4,Ad_18,Creative_3,Video,X,Lookalike_Top_Spenders,Lookalike,Narrow,969,16,7.9,0.49,8.15,7,0,0,0.0
2024-01-22,Video_Views,Awareness,Set_3,Ad_2,Creative_6,Video,Facebook,Retargeting_Email_Engagers,Retargeting,Medium,1018,8,4.02,0.5,3.95,4,0,0,0.0
2024-01-08,Retargeting,Conversion,Set_1,Ad_13,Creative_7,Image,TikTok,Interest_In_Sustainable_Fashion,Interest,Medium,988,25,7.42,0.3,7.51,0,0,1,36.45
2024-01-02,Brand_Awareness,Awareness,Set_2,Ad_12,Creative_10,Video,LinkedIn,Lookalike_Recent_Purchasers,Lookalike,Broad,976,19,15.08,0.79,15.45,0,0,0,0.0
2024-01-09,Conversions,Conversion,Set_1,Ad_10,Creative_6,Video,TikTok,Interest_In_Organic_Food,Interest,Broad,978,0,0.0,0.0,0.0,0,0,0,0.0
2024-02-16,Retargeting,Conversion,Set_3,Ad_18,Creative_7,Carousel,Instagram,Interest_In_Sustainable_Fashion,Interest,Medium,1000,43,25.92,0.6,25.92,0,0,0,0.0
2024-01-14,Traffic,Consideration,Set_3,Ad_13,Creative_5,Video,TikTok,Broad_35-54_UK,Broad,Narrow,1013,13,4.16,0.32,4.11,0,0,0,0.0
2024-01-07,Traffic,Consideration,Set_4,Ad_19,Creative_8,Video,TikTok,Custom_List_Newsletter_Subscribers,Custom_List,Medium,980,0,0.0,0.0,0.0,0,0,0,0.0
2024-01-09,Retargeting,Conversion,Set_2,Ad_17,Creative_2,Image,LinkedIn,Broad_18-34_US,Broad,Broad,966,21,13.02,0.62,13.48,0,0,0,0.0
2024-02-14,Conversions,Conversion,Set_3,Ad_3,Creative_4,Image,Instagram,Custom_List_Newsletter_Subscribers,Custom_List,Medium,968,26,1.3,0.05,1.34,0,0,1,46.93
2024-01-27,Traffic,Consideration,Set_1,Ad_2,Creative_8,Image,Instagram,Retargeting_Cart_Abandoners,Retargeting,Broad,963,26,7.01,0.27,7.28,0,0,0,0.0
2024-01-02,Retargeting,Conversion,Set_2,Ad_13,Creative_1,Image,LinkedIn,Interest_In_Luxury_Travel,Interest,Narrow,1031,32,24.14,0.75,23.41,0,0,0,0.0
2024-03-20,Brand_Awareness,Awareness,Set_4,Ad_8,Creative_8,Carousel,Instagram,Broad_18-34_US,Broad,Broad,958,9,3.76,0.42,3.92,0,0,0,0.0
2024-01-05,Brand_Awareness,Awareness,Set_2,Ad_4,Creative_9,Carousel,LinkedIn,Interest_In_Home_Fitness,Interest,Medium,1029,17,9.12,0.54,8.86,0,0,0,0.0
2024-03-03,Video_Views,Awareness,Set_3,Ad_15,Creative_7,Carousel,TikTok,Broad_35-54_UK,Broad,Broad,990,23,4.42,0.19,4.46,14,0,0,0.0
2024-01-08,Video_Views,Awareness,Set_4,Ad_6,Creative_5,Image,LinkedIn,Retargeting_Cart_Abandoners,Retargeting,Medium,1048,38,29.58,0.78,28.23,28,0,1,11.15
2024-01-13,Video_Views,Awareness,Set_4,Ad_8,Creative_5,Carousel,X,Retargeting_Cart_Abandoners,Retargeting,Narrow,961,24,17.44,0.73,18.15,17,0,1,21.82
2024-01-09,Traffic,Consideration,Set_3,Ad_11,Creative_3,Image,X,Retargeting_Product_Viewers,Retargeting,Narrow,1023,11,9.92,0.9,9.7,0,0,0,0.0
2024-02-21,Traffic,Consideration,Set_4,Ad_5,Creative_6,Video,Instagram,Lookalike_Recent_Purchasers,Lookalike,Medium,955,16,3.27,0.2,3.42,0,0,0,0.0
2024-02-08,Video_Views,Awareness,Set_4,Ad_14,Creative_10,Video,Facebook,Interest_In_Sustainable_Fashion,Interest,Medium,1013,10,0.74,0.07,0.73,5,0,0,0.0
2024-01-16,Brand_Awareness,Awareness,Set_4,Ad_16,Creative_7,Video,Facebook,Interest_In_Tech_Gadgets,Interest,Medium,997,28,12.77,0.46,12.81,0,0,0,0.0
2024-01-01,Video_Views,Awareness,Set_2,Ad_16,Creative_1,Video,Instagram,Interest_In_Organic_Food,Interest,Medium,1041,39,20.2,0.52,19.4,29,0,1,24.42
2024-01-28,Retargeting,Conversion,Set_3,Ad_13,Creative_10,Image,Instagram,Broad_35-54_UK,Broad,Medium,993,10,3.75,0.38,3.78,0,0,0,0.0
2024-01-02,Video_Views,Awareness,Set_1,Ad_13,Creative_2,Image,TikTok,Retargeting_Email_Engagers,Retargeting,Broad,985,34,26.2,0.77,26.6,28,0,0,0.0
2024-01-19,Retargeting,Conversion,Set_2,Ad_15,Creative_6,Video,Instagram,Lookalike_Top_Spenders,Lookalike,Medium,973,11,3.86,0.35,3.97,0,0,0,-0.0
2024-03-14,Traffic,Consideration,Set_4,Ad_11,Creative_7,Video,X,Broad_18-34_US,Broad,Medium,987,9,6.33,0.7,6.41,0,0,0,0.0
2024-01-28,Conversions,Conversion,Set_1,Ad_16,Creative_6,Image,Facebook,Custom_List_Past_Purchasers,Custom_List,Broad,940,24,10.55,0.44,11.22,0,0,1,44.26
2024-01-02,Traffic,Consideration,Set_1,Ad_2,Creative_10,Image,Facebook,Interest_In_Sustainable_Fashion,Interest,Narrow,997,33,1.65,0.05,1.65,0,0,0,0.0
2024-01-07,Traffic,Consideration,Set_2,Ad_5,Creative_4,Carousel,LinkedIn,Custom_List_Newsletter_Subscribers,Custom_List,Narrow,988,21,7.94,0.38,8.04,0,0,1,29.36
2024-01-01,Retargeting,Conversion,Set_3,Ad_12,Creative_2,Carousel,Instagram,Retargeting_Email_Engagers,Retargeting,Broad,973,20,7.48,0.37,7.69,0,0,0,0.0
2024-01-09,Traffic,Consideration,Set_3,Ad_4,Creative_7,Carousel,TikTok,Lookalike_Top_Spenders,Lookalike,Medium,1021,18,9.5,0.53,9.3,0,0,0,0.0
2024-01-11,Retargeting,Conversion,Set_2,Ad_3,Creative_2,Image,TikTok,Custom_List_Past_Purchasers,Custom_List,Broad,1047,3,2.86,0.95,2.73,0,0,0,0.0
2024-01-10,Conversions,Conversion,Set_1,Ad_19,Creative_6,Video,Facebook,Interest_In_Tech_Gadgets,Interest,Broad,1011,7,0.35,0.05,0.35,0,0,0,0.0
2024-02-13,Brand_Awareness,Awareness,Set_3,Ad_1,Creative_7,Image,LinkedIn,Broad_35-54_UK,Broad,Medium,961,28,16.63,0.59,17.3,0,0,0,0.0
2024-01-09,Conversions,Conversion,Set_4,Ad_5,Creative_5,Carousel,LinkedIn,Interest_In_Home_Fitness,Interest,Broad,961,30,18.11,0.6,18.84,0,0,1,44.6
2024-01-01,Video_Views,Awareness,Set_4,Ad_15,Creative_5,Carousel,LinkedIn,Broad_35-54_UK,Broad,Broad,1052,3,2.13,0.71,2.02,1,0,0,0.0
2024-01-01,Conversions,Conversion,Set_2,Ad_3,Creative_10,Video,X,Retargeting_Cart_Abandoners,Retargeting,Narrow,960,26,20.71,0.8,21.57,0,0,2,120.28
2024-01-22,Video_Views,Awareness,Set_4,Ad_11,Creative_8,Image,Facebook,Retargeting_Cart_Abandoners,Retargeting,Medium,926,6,1.98,0.33,2.14,4,0,0,0.0
2024-01-14,Traffic,Consideration,Set_3,Ad_9,Creative_5,Carousel,X,Interest_In_Organic_Food,Interest,Broad,1021,12,4.92,0.41,4.82,0,0,0,0.0
2024-02-09,Video_Views,Awareness,Set_1,Ad_17,Creative_7,Carousel,Instagram,Lookalike_Recent_Purchasers,Lookalike,Narrow,972,25,2.4,0.1,2.47,9,0,0,0.0
2024-02-14,Retargeting,Conversion,Set_2,Ad_16,Creative_5,Image,LinkedIn,Retargeting_Cart_Abandoners,Retargeting,Narrow,954,18,17.17,0.95,18.0,0,0,0,0.0
2024-02-18,Traffic,Consideration,Set_4,Ad_8,Creative_8,Video,X,Custom_List_Newsletter_Subscribers,Custom_List,Broad,1018,14,3.46,0.25,3.4,0,0,0,0.0
2024-01-24,Video_Views,Awareness,Set_3,Ad_14,Creative_8,Carousel,TikTok,Interest_In_Tech_Gadgets,Interest,Medium,1042,26,21.22,0.82,20.36,17,0,1,24.59
2024-01-08,Conversions,Conversion,Set_3,Ad_9,Creative_6,Image,Instagram,Lookalike_Recent_Purchasers,Lookalike,Broad,1057,35,14.94,0.43,14.13,0,1,2,95.74
2024-02-25,Brand_Awareness,Awareness,Set_2,Ad_7,Creative_10,Video,Instagram,Custom_List_Past_Purchasers,Custom_List,Medium,983,18,7.55,0.42,7.68,0,0,0,0.0
2024-01-03,Video_Views,Awareness,Set_3,Ad_4,Creative_3,Video,Instagram,Interest_In_Organic_Food,Interest,Narrow,1018,17,7.26,0.43,7.13,9,0,0,0.0
2024-01-30,Conversions,Conversion,Set_1,Ad_18,Creative_9,Image,Instagram,Interest_In_Organic_Food,Interest,Narrow,1044,26,15.94,0.61,15.27,0,1,1,64.09
2024-03-03,Conversions,Conversion,Set_2,Ad_16,Creative_5,Carousel,Facebook,Broad_35-54_UK,Broad,Narrow,993,21,4.73,0.23,4.76,0,0,1,47.0
2024-01-11,Retargeting,Conversion,Set_4,Ad_15,Creative_8,Video,X,Interest_In_Home_Fitness,Interest,Narrow,981,19,12.29,0.65,12.53,0,0,1,10.02
2024-03-27,Brand_Awareness,Awareness,Set_1,Ad_13,Creative_1,Carousel,LinkedIn,Lookalike_Recent_Purchasers,Lookalike,Broad,997,17,14.17,0.83,14.21,0,0,1,4.3
2024-01-06,Traffic,Consideration,Set_2,Ad_19,Creative_9,Image,X,Lookalike_Recent_Purchasers,Lookalike,Narrow,972,13,10.89,0.84,11.2,0,0,0,0.0
2024-02-20,Retargeting,Conversion,Set_2,Ad_17,Creative_10,Video,LinkedIn,Retargeting_Cart_Abandoners,Retargeting,Medium,973,24,25.72,1.07,26.43,0,0,1,11.6
2024-03-03,Retargeting,Conversion,Set_3,Ad_19,Creative_2,Carousel,TikTok,Lookalike_Top_Spenders,Lookalike,Broad,978,22,14.67,0.67,15.0,0,0,0,0.0
2024-01-14,Traffic,Consideration,Set_2,Ad_9,Creative_9,Image,Facebook,Interest_In_Home_Fitness,Interest,Narrow,977,11,2.55,0.23,2.61,0,0,0,0.0
2024-01-03,Brand_Awareness,Awareness,Set_2,Ad_1,Creative_8,Carousel,LinkedIn,Retargeting_Cart_Abandoners,Retargeting,Broad,1038,46,22.72,0.49,21.89,0,0,0,0.0
2024-01-10,Conversions,Conversion,Set_1,Ad_8,Creative_8,Carousel,X,Custom_List_Past_Purchasers,Custom_List,Medium,1043,45,35.4,0.79,33.94,0,1,2,108.12
2024-02-24,Brand_Awareness,Awareness,Set_2,Ad_9,Creative_2,Video,TikTok,Custom_List_Newsletter_Subscribers,Custom_List,Narrow,1018,34,24.81,0.73,24.37,0,0,0,0.0
2024-01-06,Video_Views,Awareness,Set_2,Ad_5,Creative_1,Image,X,Broad_35-54_UK,Broad,Narrow,1032,12,6.66,0.56,6.45,4,0,0,0.0
2024-01-10,Traffic,Consideration,Set_3,Ad_20,Creative_8,Image,TikTok,Interest_In_Organic_Food,Interest,Medium,1012,21,11.31,0.54,11.18,0,0,0,0.0
2024-04-08,Conversions,Conversion,Set_4,Ad_9,Creative_2,Video,TikTok,Retargeting_Product_Viewers,Retargeting,Medium,985,26,17.72,0.68,17.99,0,0,1,45.95
2024-01-27,Video_Views,Awareness,Set_1,Ad_14,Creative_2,Image,X,Retargeting_Email_Engagers,Retargeting,Medium,986,21,10.25,0.49,10.4,14,0,0,0.0
2024-01-10,Traffic,Consideration,Set_1,Ad_9,Creative_9,Video,TikTok,Lookalike_Top_Spenders,Lookalike,Narrow,996,38,27.73,0.73,27.84,0,0,1,31.22
2024-01-10,Retargeting,Conversion,Set_3,Ad_6,Creative_2,Video,TikTok,Interest_In_Luxury_Travel,Interest,Broad,1072,28,16.24,0.58,15.15,0,0,1,9.3
2024-05-04,Retargeting,Conversion,Set_3,Ad_14,Creative_3,Image,X,Interest_In_Tech_Gadgets,Interest,Broad,992,12,5.49,0.46,5.53,0,0,0,0.0
2024-01-14,Conversions,Conversion,Set_4,Ad_16,Creative_1,Carousel,X,Custom_List_Newsletter_Subscribers,Custom_List,Medium,1040,29,20.05,0.69,19.28,0,0,1,54.48
2024-01-05,Retargeting,Conversion,Set_1,Ad_11,Creative_9,Video,X,Interest_In_Tech_Gadgets,Interest,Narrow,1011,33,13.0,0.39,12.86,0,0,0,0.0
2024-01-17,Brand_Awareness,Awareness,Set_4,Ad_14,Creative_10,Video,Facebook,Interest_In_Sustainable_Fashion,Interest,Broad,970,20,5.28,0.26,5.44,0,0,0,0.0
2024-01-01,Retargeting,Conversion,Set_4,Ad_2,Creative_5,Image,Instagram,Interest_In_Organic_Food,Interest,Broad,942,1,0.89,0.89,0.94,0,0,0,0.0
2024-02-29,Retargeting,Conversion,Set_4,Ad_4,Creative_3,Image,Facebook,Custom_List_Newsletter_Subscribers,Custom_List,Broad,1028,10,3.9,0.39,3.79,0,0,0,0.0
2024-01-25,Conversions,Conversion,Set_1,Ad_18,Creative_8,Image,LinkedIn,Lookalike_Recent_Purchasers,Lookalike,Narrow,1002,33,18.02,0.55,17.98,0,0,1,48.21
2024-01-05,Brand_Awareness,Awareness,Set_2,Ad_16,Creative_7,Video,X,Retargeting_Product_Viewers,Retargeting,Broad,1006,14,10.0,0.71,9.94,0,0,0,0.0
2024-02-07,Retargeting,Conversion,Set_4,Ad_8,Creative_4,Video,LinkedIn,Retargeting_Product_Viewers,Retargeting,Narrow,1041,14,6.78,0.48,6.51,0,0,0,0.0
2024-02-20,Video_Views,Awareness,Set_2,Ad_3,Creative_9,Video,X,Broad_18-34_US,Broad,Medium,996,37,23.66,0.64,23.76,23,0,0,0.0
2024-04-21,Conversions,Conversion,Set_1,Ad_10,Creative_8,Carousel,X,Broad_35-54_UK,Broad,Broad,985,30,24.78,0.83,25.16,0,1,3,147.09
2024-06-17,Traffic,Consideration,Set_4,Ad_18,Creative_9,Carousel,LinkedIn,Interest_In_Tech_Gadgets,Interest,Medium,970,26,14.26,0.55,14.7,0,0,0,0.0
2024-02-10,Retargeting,Conversion,Set_4,Ad_11,Creative_7,Carousel,Instagram,Custom_List_Past_Purchasers,Custom_List,Narrow,993,4,3.2,0.8,3.22,0,0,0,0.0
2024-01-27,Traffic,Consideration,Set_4,Ad_2,Creative_7,Carousel,X,Custom_List_Past_Purchasers,Custom_List,Medium,1052,15,13.43,0.9,12.77,0,0,0,0.0
2024-02-07,Retargeting,Conversion,Set_2,Ad_16,Creative_6,Carousel,Facebook,Interest_In_Home_Fitness,Interest,Broad,1051,24,8.2,0.34,7.8,0,0,0,0.0
2024-01-22,Brand_Awareness,Awareness,Set_4,Ad_4,Creative_3,Carousel,TikTok,Retargeting_Cart_Abandoners,Retargeting,Narrow,987,30,15.83,0.53,16.04,0,0,0,0.0
2024-02-14,Retargeting,Conversion,Set_2,Ad_3,Creative_10,Video,LinkedIn,Broad_18-34_US,Broad,Medium,996,0,0.0,0.0,0.0,0,0,0,0.0
2024-02-06,Retargeting,Conversion,Set_1,Ad_11,Creative_8,Carousel,TikTok,Interest_In_Luxury_Travel,Interest,Medium,965,5,2.68,0.54,2.78,0,0,0,0.0
2024-01-27,Video_Views,Awareness,Set_1,Ad_20,Creative_5,Carousel,Facebook,Interest_In_Sustainable_Fashion,Interest,Broad,1041,17,4.93,0.29,4.74,11,0,0,0.0
2024-03-22,Traffic,Consideration,Set_1,Ad_14,Creative_2,Carousel,Facebook,Broad_18-34_US,Broad,Broad,983,28,13.14,0.47,13.37,0,1,1,-8.96
2024-01-05,Retargeting,Conversion,Set_2,Ad_10,Creative_5,Image,Facebook,Lookalike_Top_Spenders,Lookalike,Medium,1019,18,8.2,0.46,8.05,0,0,0,0.0
2024-01-06,Conversions,Conversion,Set_3,Ad_14,Creative_10,Video,Instagram,Interest_In_Sustainable_Fashion,Interest,Broad,1018,26,12.3,0.47,12.08,0,1,2,98.84
2024-01-01,Traffic,Consideration,Set_2,Ad_6,Creative_4,Carousel,Facebook,Retargeting_Email_Engagers,Retargeting,Medium,1059,32,5.91,0.18,5.58,0,1,1,9.1
2024-02-01,Retargeting,Conversion,Set_2,Ad_8,Creative_5,Video,LinkedIn,Custom_List_Newsletter_Subscribers,Custom_List,Medium,954,18,11.98,0.67,12.56,0,0,0,0.0
2024-03-04,Brand_Awareness,Awareness,Set_4,Ad_10,Creative_6,Video,TikTok,Interest_In_Home_Fitness,Interest,Narrow,991,24,19.43,0.81,19.61,0,0,0,0.0
2024-01-18,Video_Views,Awareness,Set_3,Ad_14,Creative_7,Image,X,Retargeting_Cart_Abandoners,Retargeting,Medium,1032,18,10.86,0.6,10.52,18,0,0,0.0
2024-01-15,Retargeting,Conversion,Set_1,Ad_8,Creative_5,Carousel,LinkedIn,Retargeting_Email_Engagers,Retargeting,Medium,995,7,3.36,0.48,3.38,0,0,0,0.0
